District_Name,UnitName,FIRNo,Year,Month,CrimeGroup_Name,Latitude,Longitude,VICTIM COUNT,Accused Count,Day
SUNSARI,Sunsari Police Unit,6739/2020,2023,11,Theft,26.812283,87.197733,0,0,12
BANKE,Banke Police Unit,3524/2020,2017,1,Theft,30.269157,87.126194,0,0,26
BHAKTAPUR,Bhaktapur Police Unit,8935/2017,2021,9,Assault,29.032763,80.369771,2,5,23
BANKE,Banke Police Unit,9061/2018,2021,5,Human Trafficking,29.383051,84.948345,1,5,1
DHANUSHA,Dhanusha Police Unit,283/2024,2023,3,Assault,27.998415,86.447282,3,2,27
BANKE,Banke Police Unit,1529/2016,2023,12,Smuggling,28.609343,83.224574,3,1,12
CHITWAN,Chitwan Police Unit,3209/2016,2016,3,Cyber Crime,28.462663,82.519838,3,5,6
BANKE,Banke Police Unit,8030/2024,2019,11,Fraud,26.789097,87.879907,0,5,1
CHITWAN,Chitwan Police Unit,2622/2020,2017,9,Human Trafficking,30.272639,82.691122,0,3,24
BANKE,Banke Police Unit,6013/2021,2019,6,Homicide,27.80101,85.254183,2,2,26
BANKE,Banke Police Unit,5524/2020,2021,3,Domestic Violence,30.278078,84.713742,5,3,27
DHANUSHA,Dhanusha Police Unit,3279/2023,2016,5,Assault,28.579109,84.150511,0,2,27
CHITWAN,Chitwan Police Unit,8070/2021,2019,2,Homicide,28.114732,84.167461,1,0,17
DHANUSHA,Dhanusha Police Unit,473/2016,2017,7,Human Trafficking,28.78937,84.221911,4,1,8
RUPANDEHI,Rupandehi Police Unit,5249/2021,2022,9,Kidnapping,28.479118,87.056419,5,1,28
BANKE,Banke Police Unit,5309/2022,2023,8,Smuggling,27.555727,84.228912,2,2,20
DHANUSHA,Dhanusha Police Unit,4113/2017,2016,6,Smuggling,28.628108,81.649932,3,5,2
KASKI,Kaski Police Unit,8371/2015,2020,2,Kidnapping,26.812603,83.026036,2,1,26
RUPANDEHI,Rupandehi Police Unit,6418/2017,2016,9,Theft,29.744177,85.248337,2,3,11
SUNSARI,Sunsari Police Unit,946/2015,2020,11,Kidnapping,30.131136,85.334098,0,0,5
LALITPUR,Lalitpur Police Unit,3647/2016,2022,9,Fraud,28.468304,85.776575,3,2,20
BANKE,Banke Police Unit,375/2022,2016,8,Homicide,27.234906,86.677583,2,5,3
SUNSARI,Sunsari Police Unit,7983/2016,2024,9,Domestic Violence,30.415301,85.823803,3,5,2
MORANG,Morang Police Unit,4492/2019,2015,8,Homicide,27.775743,87.019677,4,3,20
LALITPUR,Lalitpur Police Unit,9497/2020,2023,5,Assault,27.041657,83.293466,2,1,1
BANKE,Banke Police Unit,4150/2021,2020,4,Cyber Crime,30.204827,83.863305,4,2,11
MORANG,Morang Police Unit,2116/2019,2020,7,Homicide,26.829685,87.636571,1,3,25
DHANUSHA,Dhanusha Police Unit,9890/2024,2015,4,Theft,29.117007,85.637725,3,1,10
DHANUSHA,Dhanusha Police Unit,8785/2023,2024,2,Homicide,30.108733,83.228266,1,0,21
BANKE,Banke Police Unit,660/2018,2017,7,Assault,28.360055,84.355192,3,3,2
KASKI,Kaski Police Unit,7269/2022,2018,11,Kidnapping,26.399395,86.450422,3,1,19
DHANUSHA,Dhanusha Police Unit,7064/2015,2022,3,Fraud,30.270483,87.700108,4,0,28
KASKI,Kaski Police Unit,3902/2022,2020,9,Theft,30.005092,82.421658,1,3,19
LALITPUR,Lalitpur Police Unit,3175/2018,2020,2,Drug Trafficking,28.591411,87.163238,0,4,14
KASKI,Kaski Police Unit,1880/2020,2021,3,Homicide,30.342775,86.257223,0,0,28
DHANUSHA,Dhanusha Police Unit,8908/2015,2022,12,Kidnapping,28.240276,85.934716,1,1,27
RUPANDEHI,Rupandehi Police Unit,9814/2023,2017,8,Drug Trafficking,28.016785,80.492226,2,5,4
DHANUSHA,Dhanusha Police Unit,3236/2022,2021,10,Smuggling,26.759646,81.284849,0,1,18
DHANUSHA,Dhanusha Police Unit,7710/2018,2021,4,Homicide,27.398689,83.374092,5,0,9
BANKE,Banke Police Unit,7260/2018,2020,9,Drug Trafficking,29.286649,80.09074,5,4,9
DHANUSHA,Dhanusha Police Unit,6821/2016,2016,10,Human Trafficking,27.53318,87.616092,3,3,28
MORANG,Morang Police Unit,9975/2018,2018,10,Drug Trafficking,28.203148,80.588772,4,3,5
LALITPUR,Lalitpur Police Unit,9875/2019,2023,3,Cyber Crime,28.403729,86.309303,3,3,20
CHITWAN,Chitwan Police Unit,2698/2017,2016,5,Smuggling,28.421911,80.638733,2,2,25
MORANG,Morang Police Unit,749/2018,2024,9,Fraud,27.167846,85.791396,3,0,2
SUNSARI,Sunsari Police Unit,6483/2020,2018,6,Fraud,29.042187,83.757262,2,2,27
LALITPUR,Lalitpur Police Unit,6176/2022,2022,6,Kidnapping,28.035537,83.510224,4,5,11
BANKE,Banke Police Unit,3545/2021,2023,9,Cyber Crime,26.861361,86.494146,4,2,26
MORANG,Morang Police Unit,43/2023,2024,3,Domestic Violence,30.109669,80.942715,1,0,8
DHANUSHA,Dhanusha Police Unit,9156/2022,2018,8,Homicide,26.474044,86.472693,4,1,9
DHANUSHA,Dhanusha Police Unit,3850/2015,2017,7,Domestic Violence,28.141198,86.913342,0,4,1
RUPANDEHI,Rupandehi Police Unit,4023/2015,2024,10,Homicide,28.245522,84.132976,0,3,4
LALITPUR,Lalitpur Police Unit,7385/2017,2021,11,Domestic Violence,28.588976,87.527836,1,5,5
DHANUSHA,Dhanusha Police Unit,3876/2018,2015,5,Cyber Crime,27.13206,81.163417,4,0,19
RUPANDEHI,Rupandehi Police Unit,6102/2016,2021,3,Fraud,27.537424,83.434759,4,4,27
RUPANDEHI,Rupandehi Police Unit,9159/2016,2022,12,Theft,26.642504,80.987614,5,1,23
CHITWAN,Chitwan Police Unit,9545/2021,2021,3,Domestic Violence,27.937291,85.653691,1,0,11
BHAKTAPUR,Bhaktapur Police Unit,3394/2023,2021,12,Drug Trafficking,30.003485,87.660913,5,2,11
BANKE,Banke Police Unit,158/2024,2018,9,Kidnapping,28.590053,85.973555,5,2,18
KATHMANDU,Kathmandu Police Unit,4407/2018,2019,7,Fraud,29.932404,83.525252,5,0,21
LALITPUR,Lalitpur Police Unit,1643/2015,2016,12,Theft,29.718724,86.432343,5,0,13
KASKI,Kaski Police Unit,9655/2017,2017,2,Smuggling,30.317739,80.273419,2,2,8
RUPANDEHI,Rupandehi Police Unit,7251/2018,2024,5,Theft,29.485856,87.553155,5,5,16
RUPANDEHI,Rupandehi Police Unit,4230/2018,2015,7,Domestic Violence,28.148948,81.087854,4,2,8
BHAKTAPUR,Bhaktapur Police Unit,7932/2019,2017,8,Domestic Violence,26.530894,82.983728,4,3,16
KATHMANDU,Kathmandu Police Unit,7501/2022,2021,9,Kidnapping,27.285169,86.28562,1,5,13
RUPANDEHI,Rupandehi Police Unit,6929/2016,2018,1,Assault,27.690179,80.456368,3,0,28
DHANUSHA,Dhanusha Police Unit,3941/2023,2022,4,Fraud,29.293191,81.569456,4,3,3
KATHMANDU,Kathmandu Police Unit,8086/2022,2018,7,Cyber Crime,26.439201,84.961304,5,2,5
BANKE,Banke Police Unit,2528/2024,2017,3,Homicide,29.444232,82.990618,2,3,21
